,id,price,region,city,population,percentage_under_30,possible_venues_in_the_city,large_corporations_in_the_city,avg_income_in_the_city,sights_in_the_city,room_type,accommodates,bathrooms_shared,bathrooms_num,bedrooms,beds,public_transport_stops_near_the_apartment,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,amenities_wifi,amenities_kitchen,amenities_essentials,amenities_heating,amenities_washer,amenities_long_term_stays_allowed,amenities_hair_dryer,amenities_hangers,amenities_dedicated_workspace,amenities_hot_water,amenities_iron,amenities_smoke_alarm,amenities_shampoo,amenities_dishes_and_silverware,amenities_cooking_basics,amenities_refrigerator,amenities_bed_linens,amenities_stove,amenities_coffee_maker,amenities_tv,amenities_oven,amenities_free_street_parking,amenities_dishwasher,amenities_elevator,amenities_host_greets_you,amenities_first_aid_kit,amenities_microwave,amenities_extra_pillows_and_blankets,amenities_patio_or_balcony,amenities_private_entrance,amenities_fire_extinguisher,amenities_luggage_dropoff_allowed,amenities_carbon_monoxide_alarm,amenities_lock_on_bedroom_door,amenities_dryer,amenities_cable_tv,amenities_tv_with_standard_cable,amenities_bathtub,amenities_free_parking_on_premises,amenities_shower_gel,amenities_baking_sheet,amenities_room-darkening_shades,amenities_single_level_home,amenities_hot_water_kettle,amenities_freezer,amenities_backyard,amenities_paid_parking_off_premises,amenities_cleaning_products,amenities_dining_table,amenities_wine_glasses
12,220445,47,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,2,0,1.0,1.0,2.0,3,4.74,4.78,4.67,4.93,4.7,4.7,4.59,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,231220,30,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,1,0,1.0,1.0,1.0,1,4.65,4.91,4.45,4.95,4.86,4.73,4.59,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,233083,98,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,2,0,1.0,1.0,0.0,4,4.94,4.94,4.77,4.94,4.97,4.97,4.83,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,250015,70,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,6,0,1.0,2.0,2.0,5,4.63,4.5,4.75,4.88,4.88,4.63,4.38,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,250023,50,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,4,0,1.0,2.0,3.0,4,4.46,4.65,4.46,4.79,4.69,4.57,4.54,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,250253,102,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,6,0,2.0,2.0,5.0,0,4.4,4.56,4.65,4.49,4.6,4.63,4.41,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,306502,71,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,2,0,1.0,1.0,1.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,313876,47,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,3,0,1.0,2.0,4.0,4,4.67,4.67,3.67,5.0,5.0,5.0,4.33,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,352998,31,The North,Winterfell,213146,0.24,3,2,5729,0,Private room,2,1,1.0,1.0,1.0,3,4.9,4.84,4.94,4.94,4.9,4.96,4.84,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,400642,168,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,2,0,1.0,2.0,2.0,2,5.0,5.0,4.8,4.4,4.6,5.0,4.75,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,473386,95,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,6,0,1.0,2.0,3.0,4,4.55,4.71,4.48,4.89,4.82,4.78,4.57,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,590948,32,The North,White Harbor,135493,0.39,8,3,5172,14,Private room,2,1,1.0,1.0,1.0,5,4.83,4.9,4.84,4.94,4.58,4.68,4.84,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,821270,31,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,1,0,1.0,1.0,1.0,1,4.56,4.58,4.47,4.95,4.84,4.89,4.42,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,852169,119,The North,Flints Finger,207511,0.32,6,2,3566,0,Entire home/apt,3,0,1.0,2.0,0.0,1,4.1,3.8,3.8,4.78,4.78,5.0,3.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0
37,857451,70,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,4,0,1.0,1.0,2.0,3,4.64,4.82,4.36,4.45,4.64,4.73,4.55,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,871945,69,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,4,0,1.0,1.0,2.0,3,4.59,4.77,4.58,4.8,4.75,4.89,4.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
39,880250,27,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,3,0,1.0,1.0,1.0,5,4.58,5.0,4.5,5.0,5.0,4.33,4.25,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
40,889901,40,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,3,0,1.0,2.0,2.0,2,4.85,4.94,4.91,5.0,5.0,4.67,4.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
41,918301,50,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,2,0,1.0,2.0,0.0,3,4.83,4.87,4.87,4.98,4.96,4.62,4.83,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,938661,45,The North,Winterfell,213146,0.24,3,2,5729,0,Private room,3,0,1.0,2.0,2.0,4,4.92,5.0,4.83,4.33,4.5,4.67,4.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
43,975599,76,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,3,0,1.0,1.0,2.0,1,4.51,4.6,4.65,4.69,4.67,4.64,4.46,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
44,984052,46,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,2,0,1.0,1.0,1.0,0,4.69,4.86,4.56,4.92,4.85,4.72,4.66,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,1038377,95,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,4,0,1.0,1.0,7.0,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
47,1038425,95,The North,Flints Finger,207511,0.32,6,2,3566,0,Entire home/apt,4,0,1.0,1.0,4.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
48,1125176,112,The North,White Harbor,135493,0.39,8,3,5172,14,Private room,1,1,2.0,1.0,1.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0
49,1140239,59,The North,Flints Finger,207511,0.32,6,2,3566,0,Entire home/apt,2,0,1.0,1.0,2.0,3,4.71,4.82,4.76,4.88,4.88,4.94,4.59,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1157858,55,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,1,0,1.0,1.0,1.0,0,5.0,5.0,4.95,5.0,4.79,4.95,4.84,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1177810,45,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,2,0,1.0,1.0,1.0,0,4.61,4.83,4.71,4.97,4.91,4.54,4.7,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1185916,55,The North,Widows Watch,235951,0.37,1,2,5294,10,Private room,1,1,1.0,1.0,0.0,1,4.98,4.98,4.95,4.98,5.0,4.98,4.93,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,1222569,135,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,8,0,2.0,2.0,8.0,0,4.81,4.85,4.79,4.88,4.93,4.82,4.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1
57,1274386,23,The North,Karhold,286335,0.42,7,3,7115,13,Private room,3,1,1.0,1.0,2.0,5,4.76,4.81,4.5,4.92,4.94,4.85,4.83,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1274387,23,The North,Widows Watch,235951,0.37,1,2,5294,10,Private room,4,1,1.0,1.0,4.0,2,4.59,4.76,4.3,4.93,4.87,4.86,4.71,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
60,1296135,99,The North,Flints Finger,207511,0.32,6,2,3566,0,Entire home/apt,3,0,1.0,2.0,3.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1307562,32,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,2,0,1.0,1.0,1.0,5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,1393078,55,The North,Widows Watch,235951,0.37,1,2,5294,10,Private room,2,1,1.0,1.0,1.0,3,4.82,4.91,4.96,4.86,4.81,4.79,4.91,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,1574592,99,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,4,0,1.0,1.0,2.0,0,4.69,4.86,4.84,4.91,4.94,4.64,4.69,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
66,1732024,69,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,2,0,1.0,1.0,1.0,3,4.78,4.56,4.44,4.78,5.0,4.78,4.56,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1748743,90,The North,Flints Finger,207511,0.32,6,2,3566,0,Private room,2,1,1.0,1.0,2.0,2,5.0,5.0,5.0,5.0,4.5,5.0,5.0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
68,1845815,47,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,4,0,1.0,1.0,3.0,0,4.32,4.42,4.45,4.73,4.55,4.54,4.35,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
69,1876196,68,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,4,0,1.0,2.0,0.0,0,4.79,4.79,4.79,4.86,4.93,4.79,4.57,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1880039,79,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,2,0,1.0,1.0,1.0,4,4.87,5.0,5.0,5.0,4.91,4.83,4.91,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0
71,1880216,45,The North,Widows Watch,235951,0.37,1,2,5294,10,Private room,1,1,1.0,1.0,1.0,4,4.63,4.94,4.81,5.0,4.81,4.94,4.8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2027037,61,The North,Flints Finger,207511,0.32,6,2,3566,0,Entire home/apt,3,0,1.0,2.0,2.0,5,4.67,5.0,4.67,5.0,5.0,5.0,4.67,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2220253,50,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,2,0,1.0,1.0,2.0,4,5.0,4.78,4.44,5.0,5.0,4.89,5.0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2338167,150,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,3,0,1.0,2.0,2.0,5,5.0,5.0,5.0,5.0,5.0,4.67,5.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2348602,78,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,6,0,1.0,2.0,2.0,4,4.17,4.54,4.05,4.63,4.64,4.42,4.12,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2445048,71,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,4,0,1.0,2.0,0.0,5,5.0,5.0,5.0,4.83,5.0,4.83,4.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
85,2464533,53,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,2,0,1.0,1.0,2.0,3,4.23,4.52,4.6,4.64,4.64,4.45,4.29,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2522910,22,The North,Flints Finger,207511,0.32,6,2,3566,0,Private room,4,1,1.0,1.0,2.0,5,4.6,4.8,4.1,5.0,5.0,4.9,4.8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
88,2549564,94,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,4,0,2.0,2.0,3.0,0,4.61,4.63,4.61,4.74,4.78,4.78,4.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1
90,2623250,64,The North,Karhold,286335,0.42,7,3,7115,13,Entire home/apt,4,0,1.0,1.0,0.0,2,4.55,5.0,4.09,4.64,4.91,5.0,4.45,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
92,2639933,35,The North,Flints Finger,207511,0.32,6,2,3566,0,Private room,1,1,1.5,1.0,1.0,2,4.81,4.89,4.76,4.91,4.88,4.82,4.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1
93,2647478,94,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,3,0,1.0,1.0,1.0,5,4.85,4.91,4.83,4.92,4.95,4.76,4.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
94,2673484,65,The North,Flints Finger,207511,0.32,6,2,3566,0,Private room,1,0,1.0,1.0,1.0,4,4.69,4.84,4.84,4.88,4.83,4.72,4.72,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2789944,94,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,2,0,1.0,1.0,2.0,0,4.5,4.5,4.0,5.0,5.0,4.5,4.5,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2810807,39,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,4,0,1.0,2.0,2.0,1,4.64,4.86,4.14,4.86,4.92,4.86,4.57,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
98,2856488,71,The North,White Harbor,135493,0.39,8,3,5172,14,Entire home/apt,3,0,1.0,2.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
